src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
0,0,1,4,18236.737,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,6662.16,2,168,10.326,1,84,0.01,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,5.163,5.153,10.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,1561.018,24,2016,1381.617,7,588,1361.348,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.009,57.567,269.091,1348.046,0.512,1.672,1.139,4.036,0.473,85.084,326.096,1348.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,38372.894,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53494,8080,6,4,35373.886,2,120,0.007,1,60,28.436,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,14.218,14.211,28.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37446,5201,6,4,35366.33,2,120,0.007,1,60,24.384,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,12.192,12.185,24.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,4,34537.515,11,924,620.945,6,504,359.567,5,420,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.008,56.45,110.776,356.667,0.531,40.007,78.812,197.63,0.5,89.89,154.025,356.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,28242.12,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,16667.425,2,168,10.326,1,84,0.01,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,5.163,5.153,10.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,11566.704,27,2268,2412.726,10,840,1361.348,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.009,89.36,313.978,1348.046,0.512,115.682,323.097,1029.535,0.473,85.084,326.096,1348.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,36926,6,4,7584.854,2,120,404.581,1,60,0.017,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.017,202.291,202.274,404.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,4,7557.37,6,504,8.827,3,252,48.156,3,252,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.013,8.026,13.196,36.986,1.109,4.407,3.298,7.705,1.03,1.172,0.142,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
