timestamp,datapath_id,src_ip,dst_ip,src_mac,dst_mac,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,packet_rate,byte_rate,arp_reply_count,gratuitous_arp,ip_mac_changes,packet_in_rate,active_flow_count,label
1773772354.2059,42066486502464,10.0.0.8,10.0.0.11,00:00:00:00:00:07,00:00:00:00:00:0a,1,0,0,3,294,0.1331,22.5329,2208.2242,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.11,10.0.0.8,00:00:00:00:00:0a,00:00:00:00:00:07,1,0,0,3,294,0.0859,34.9229,3422.4487,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.12,10.0.0.2,00:00:00:00:00:0b,00:00:00:00:00:01,6,49052,5201,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.2,10.0.0.12,00:00:00:00:00:01,00:00:00:00:00:0b,6,5201,49052,1,54,0.001,1000.0,54000.0,2,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.11,10.0.0.5,00:00:00:00:00:0a,00:00:00:00:00:04,1,0,0,3,294,0.0044,688.5691,67479.7732,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.5,10.0.0.11,00:00:00:00:00:04,00:00:00:00:00:0a,1,0,0,3,294,0.0035,846.4222,82949.3728,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.10,10.0.0.3,00:00:00:00:00:09,00:00:00:00:00:02,6,37646,8080,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.3,10.0.0.10,00:00:00:00:00:02,00:00:00:00:00:09,6,8080,37646,1,74,0.001,1000.0,74000.0,1,0,0,2.0982,28,0
1773772364.3852,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,0,0,0,0.1965,28,0
1773772364.3852,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,1,0,0,0.1965,28,0
1773772364.3852,42066486502464,10.0.0.8,10.0.0.16,00:00:00:00:00:07,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.1965,28,0
1773772364.3852,42066486502464,10.0.0.16,10.0.0.8,00:00:00:00:00:0f,00:00:00:00:00:07,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.1965,28,0
1773772364.3852,42066486502464,10.0.0.16,10.0.0.3,00:00:00:00:00:0f,00:00:00:00:00:02,6,55878,8080,1,74,0.001,1000.0,74000.0,0,0,0,0.1965,28,0
1773772364.3852,42066486502464,10.0.0.3,10.0.0.16,00:00:00:00:00:02,00:00:00:00:00:0f,6,8080,55878,1,74,0.001,1000.0,74000.0,1,0,0,0.1965,28,0
